,GeneNames,log2FC,p-value
277,LOC_Os06g29180.1,1.959358016,4.55e-06
278,LOC_Os05g49290.2,-3.857980995,4.71e-06
279,LOC_Os02g54254.2,-3.857980995,4.71e-06
280,LOC_Os05g46290.1,2.64385619,5.36e-06
281,LOC_Os04g49570.1,2.64385619,5.36e-06
282,LOC_Os03g22270.2,1.257797757,5.7e-06
283,LOC_Os01g08320.1,-1.788495895,5.8e-06
284,LOC_Os05g49200.1,0.590479506,5.9e-06
285,LOC_Os05g47560.1,1.06608919,6.04e-06
286,LOC_Os09g01000.1,-0.065200652,6.12e-06
287,LOC_Os01g10050.2,2.432959407,6.39e-06
288,LOC_Os01g68700.1,-1.956931278,6.61e-06
289,LOC_Os03g21230.1,-2.887525271,7.11e-06
290,LOC_Os03g26960.1,1.068171503,7.19e-06
291,LOC_Os07g29410.1,1.096215315,7.19e-06
292,LOC_Os09g36480.2,2.0,7.59e-06
293,LOC_Os08g42850.1,-3.415037499,7.8e-06
294,LOC_Os04g37660.1,-3.415037499,7.8e-06
295,LOC_Os12g34014.1,1.91753784,7.77e-06
296,LOC_Os02g52650.1,-3.807354922,8.3e-06
297,LOC_Os11g33270.1,-3.807354922,8.3e-06
298,LOC_Os01g07970.1,-4.64385619,8.91e-06
299,LOC_Os01g25386.1,1.321928095,9.43e-06
300,LOC_Os02g11050.1,0.722466024,9.61e-06
301,LOC_Os12g42980.1,1.163498732,9.89e-06
302,LOC_Os02g38920.1,0.524841508,1.14e-05
303,LOC_Os03g45960.1,4.087462841,1.17e-05
304,LOC_Os05g08370.1,-1.584962501,1.23e-05
305,LOC_Os05g36270.2,-3.321928095,1.29e-05
306,LOC_Os01g13210.1,1.765534746,1.3e-05
307,LOC_Os05g49890.3,0.654004145,1.29e-05
308,LOC_Os01g40470.1,0.921997488,1.29e-05
309,LOC_Os12g08260.4,1.874469118,1.32e-05
310,LOC_Os12g41390.3,2.222392421,1.37e-05
311,LOC_Os02g30630.1,-2.550197083,1.43e-05
312,LOC_Os01g12710.1,1.514573173,1.43e-05
313,LOC_Os03g07360.1,1.514573173,1.43e-05
