,GeneNames,log2FC,p-value
4778,LOC_Os01g49930.1,1.0,0.589760571
4779,LOC_Os04g33440.2,1.0,0.589760571
4780,LOC_Os07g06990.1,1.0,0.589760571
4781,LOC_Os01g07500.1,1.0,0.589760571
4782,LOC_Os10g38580.1,1.0,0.589760571
4783,LOC_Os07g07620.1,1.0,0.589760571
4784,LOC_Os08g13320.1,1.0,0.589760571
4785,LOC_Os01g01840.1,1.0,0.589760571
4786,LOC_Os03g26044.1,1.0,0.589760571
4787,LOC_Os01g56560.1,1.0,0.589760571
4788,LOC_Os06g45660.1,1.0,0.589760571
4789,LOC_Os09g24540.1,1.0,0.589760571
4790,LOC_Os05g46395.1,1.0,0.589760571
4791,LOC_Os06g46940.1,1.0,0.589760571
4792,LOC_Os06g19690.1,1.0,0.589760571
4793,LOC_Os01g59730.1,1.0,0.589760571
4794,LOC_Os04g53214.1,1.0,0.589760571
4795,LOC_Os03g18680.1,1.0,0.589760571
4796,LOC_Os12g44370.1,1.0,0.589760571
4797,LOC_Os08g04780.1,1.0,0.589760571
4798,LOC_Os04g46100.1,1.0,0.589760571
4799,LOC_Os02g09430.1,1.0,0.589760571
4800,LOC_Os05g36930.2,1.0,0.589760571
4801,LOC_Os12g32284.1,1.0,0.589760571
4802,LOC_Os01g53420.1,1.0,0.589760571
4803,LOC_Os07g13230.1,1.0,0.589760571
4804,LOC_Os05g40780.1,1.0,0.589760571
4805,LOC_Os06g07760.1,1.0,0.589760571
4806,LOC_Os08g41840.1,1.0,0.589760571
4807,LOC_Os09g35900.1,1.0,0.589760571
4808,LOC_Os02g45310.1,1.0,0.589760571
4809,LOC_Os12g38880.1,1.0,0.589760571
4810,LOC_Os01g08814.3,1.0,0.589760571
4811,LOC_Os01g53280.2,1.0,0.589760571
4812,LOC_Os03g45720.1,1.0,0.589760571
4813,LOC_Os08g38410.2,1.0,0.589760571
4814,LOC_Os10g17680.1,1.0,0.589760571
4815,LOC_Os07g17040.1,1.0,0.589760571
4816,LOC_Os06g04380.1,1.0,0.589760571
4817,LOC_Os10g37340.1,1.0,0.589760571
4818,LOC_Os10g11340.1,1.0,0.589760571
4819,LOC_Os03g25430.1,1.0,0.589760571
4820,LOC_Os07g23790.2,1.0,0.589760571
4821,LOC_Os02g09120.1,1.0,0.589760571
4822,LOC_Os09g39660.2,1.0,0.589760571
4823,LOC_Os10g38214.1,1.0,0.589760571
4824,LOC_Os04g34930.1,1.0,0.589760571
4825,LOC_Os02g35110.1,1.0,0.589760571
4826,LOC_Os01g13540.1,1.0,0.589760571
4827,LOC_Os03g11580.1,1.0,0.589760571
4828,LOC_Os03g12710.1,1.0,0.589760571
4829,LOC_Os03g15230.1,1.0,0.589760571
4830,LOC_Os06g29650.1,1.0,0.589760571
4831,LOC_Os06g17290.1,1.0,0.589760571
4832,LOC_Os06g45280.1,1.0,0.589760571
4833,LOC_Os10g21418.1,1.0,0.589760571
4834,LOC_Os11g39640.1,1.0,0.589760571
4835,LOC_Os03g09900.1,1.0,0.589760571
4836,LOC_Os10g21590.1,1.0,0.589760571
4837,LOC_Os04g42770.2,1.0,0.589760571
4838,LOC_Os09g30474.1,1.0,0.589760571
4839,LOC_Os07g46320.1,1.0,0.589760571
4840,LOC_Os11g11130.1,1.0,0.589760571
4841,LOC_Os03g36790.2,1.0,0.589760571
4842,LOC_Os03g50490.1,1.0,0.589760571
4843,LOC_Os02g56840.1,1.0,0.589760571
4844,LOC_Os03g14400.1,1.0,0.589760571
4845,LOC_Os07g36410.1,1.0,0.589760571
4846,LOC_Os07g12140.1,1.0,0.589760571
4847,LOC_Os04g49920.1,1.0,0.589760571
4848,LOC_Os01g37980.1,1.0,0.589760571
4849,LOC_Os10g34370.1,1.0,0.589760571
4850,LOC_Os02g44132.2,1.0,0.589760571
4851,LOC_Os01g61350.1,1.0,0.589760571
4852,LOC_Os05g02640.1,1.0,0.589760571
4853,LOC_Os01g51280.1,1.0,0.589760571
4854,LOC_Os02g39840.3,1.0,0.589760571
4855,LOC_Os12g41090.1,1.0,0.589760571
4856,LOC_Os02g47450.1,1.0,0.589760571
4857,LOC_Os07g34610.1,1.0,0.589760571
4858,LOC_Os06g43090.1,1.0,0.589760571
4859,LOC_Os01g06680.1,1.0,0.589760571
4860,LOC_Os10g33620.1,1.0,0.589760571
4861,LOC_Os11g17610.1,1.0,0.589760571
4862,LOC_Os08g06020.1,1.0,0.589760571
4863,LOC_Os05g23550.1,1.0,0.589760571
4864,LOC_Os05g48590.1,1.0,0.589760571
4865,LOC_Os09g38110.1,1.0,0.589760571
4866,LOC_Os09g20240.2,1.0,0.589760571
4867,LOC_Os01g37920.1,1.0,0.589760571
4868,LOC_Os03g17920.1,1.0,0.589760571
4869,LOC_Os01g09100.1,1.0,0.589760571
4870,LOC_Os01g73234.2,1.0,0.589760571
4871,LOC_Os01g59670.1,1.0,0.589760571
4872,LOC_Os12g42970.1,1.0,0.589760571
4873,LOC_Os01g72570.3,1.0,0.589760571
4874,LOC_Os03g18310.1,1.0,0.589760571
4875,LOC_Os01g65350.1,1.0,0.589760571
4876,LOC_Os12g10670.1,1.0,0.589760571
4877,LOC_Os07g07580.2,1.0,0.589760571
4878,LOC_Os01g39134.1,1.0,0.589760571
4879,LOC_Os01g07410.1,1.0,0.589760571
4880,LOC_Os01g70730.1,1.0,0.589760571
4881,LOC_Os02g56300.1,1.0,0.589760571
4882,LOC_Os11g34310.1,1.0,0.589760571
4883,LOC_Os03g64350.1,1.0,0.589760571
4884,LOC_Os05g41530.1,1.0,0.589760571
4885,LOC_Os01g72520.1,1.0,0.589760571
4886,LOC_Os03g11360.1,1.0,0.589760571
4887,LOC_Os05g06260.1,1.0,0.589760571
4888,LOC_Os03g03930.1,1.0,0.589760571
4889,LOC_Os11g40540.1,1.0,0.589760571
4890,LOC_Os12g06100.2,1.0,0.589760571
4891,LOC_Os04g52361.1,1.0,0.589760571
4892,LOC_Os01g56190.1,1.0,0.589760571
4893,LOC_Os03g56540.3,1.0,0.589760571
4894,LOC_Os02g16660.1,1.0,0.589760571
4895,LOC_Os02g08380.1,1.0,0.589760571
4896,LOC_Os06g37620.1,1.0,0.589760571
4897,LOC_Os03g04690.1,1.0,0.589760571
4898,LOC_Os02g53230.1,1.0,0.589760571
4899,LOC_Os06g37420.2,1.0,0.589760571
4900,LOC_Os08g12850.1,1.0,0.589760571
4901,LOC_Os01g12660.1,1.0,0.589760571
4902,LOC_Os11g02150.1,1.0,0.589760571
4903,LOC_Os05g03050.1,1.0,0.589760571
4904,LOC_Os05g28840.1,1.0,0.589760571
4905,LOC_Os10g21326.1,1.0,0.589760571
4906,LOC_Os11g01780.1,1.0,0.589760571
4907,LOC_Os03g09270.1,1.0,0.589760571
4908,LOC_Os01g54784.1,1.0,0.589760571
4909,LOC_Os03g02480.1,1.0,0.589760571
4910,LOC_Os03g54880.1,1.0,0.589760571
4911,LOC_Os07g17130.1,1.0,0.589760571
4912,LOC_Os05g37410.1,1.0,0.589760571
4913,LOC_Os02g26560.1,1.0,0.589760571
4914,LOC_Os09g38720.1,1.0,0.589760571
4915,LOC_Os02g51150.1,1.0,0.589760571
4916,LOC_Os03g37260.1,1.0,0.589760571
4917,LOC_Os05g37170.5,1.0,0.589760571
4918,LOC_Os05g09440.1,1.0,0.589760571
4919,LOC_Os04g24520.1,1.0,0.589760571
4920,LOC_Os08g12430.1,1.0,0.589760571
4921,LOC_Os07g07070.1,1.0,0.589760571
4922,LOC_Os04g27060.1,1.0,0.589760571
4923,LOC_Os05g40290.1,1.0,0.589760571
4924,LOC_Os05g35580.1,1.0,0.589760571
4925,LOC_Os02g38170.1,1.0,0.589760571
4926,LOC_Os03g10390.1,1.0,0.589760571
4927,LOC_Os10g34840.1,1.0,0.589760571
4928,LOC_Os01g10610.1,1.0,0.589760571
4929,LOC_Os11g03550.1,1.0,0.589760571
4930,LOC_Os04g54350.1,1.0,0.589760571
4931,LOC_Os11g36340.1,1.0,0.589760571
4932,LOC_Os04g48310.1,1.0,0.589760571
4933,LOC_Os05g29880.2,1.0,0.589760571
4934,LOC_Os09g27940.1,1.0,0.589760571
4935,LOC_Os03g22550.1,1.0,0.589760571
4936,LOC_Os02g20310.1,1.0,0.589760571
4937,LOC_Os03g53490.1,1.0,0.589760571
4938,LOC_Os03g18010.1,1.0,0.589760571
4939,LOC_Os02g44290.1,1.0,0.589760571
4940,LOC_Os01g42690.1,1.0,0.589760571
4941,LOC_Os01g62820.2,1.0,0.589760571
4942,LOC_Os10g42299.2,1.0,0.589760571
4943,LOC_Os11g02660.2,1.0,0.589760571
4944,LOC_Os04g53700.1,1.0,0.589760571
4945,LOC_Os09g36250.1,1.0,0.589760571
4946,LOC_Os02g17520.1,1.0,0.589760571
4947,LOC_Os01g10790.1,1.0,0.589760571
4948,LOC_Os06g37020.1,1.0,0.589760571
4949,LOC_Os02g34500.1,1.0,0.589760571
4950,LOC_Os03g09170.1,1.0,0.589760571
4951,LOC_Os07g32730.1,1.0,0.589760571
4952,LOC_Os07g11290.1,1.0,0.589760571
4953,LOC_Os10g33530.1,1.0,0.589760571
4954,LOC_Os06g42640.3,1.0,0.589760571
4955,LOC_Os03g26860.1,1.0,0.589760571
4956,LOC_Os07g15970.1,1.0,0.589760571
4957,LOC_Os04g55700.1,1.0,0.589760571
4958,LOC_Os10g10434.1,1.0,0.589760571
4959,LOC_Os04g52840.1,1.0,0.589760571
4960,LOC_Os12g42100.1,1.0,0.589760571
4961,LOC_Os01g53450.2,1.0,0.589760571
4962,LOC_Os12g39620.1,1.0,0.589760571
4963,LOC_Os10g41100.1,1.0,0.589760571
4964,LOC_Os04g57350.1,1.0,0.589760571
4965,LOC_Os01g40670.1,1.0,0.589760571
4966,LOC_Os12g44100.1,1.0,0.589760571
4967,LOC_Os02g09340.1,1.0,0.589760571
4968,LOC_Os11g23170.1,1.0,0.589760571
4969,LOC_Os01g50860.1,1.0,0.589760571
4970,LOC_Os01g57870.2,1.0,0.589760571
4971,LOC_Os01g70820.1,1.0,0.589760571
4972,LOC_Os11g31500.1,1.0,0.589760571
4973,LOC_Os01g54960.1,1.0,0.589760571
4974,LOC_Os07g27180.1,1.0,0.589760571
4975,LOC_Os02g42590.2,1.0,0.589760571
4976,LOC_Os02g42920.1,1.0,0.589760571
4977,LOC_Os06g47950.1,1.0,0.589760571
4978,LOC_Os07g08210.1,1.0,0.589760571
4979,LOC_Os11g18340.1,1.0,0.589760571
4980,LOC_Os03g13770.1,1.0,0.589760571
4981,LOC_Os06g40590.1,1.0,0.589760571
4982,LOC_Os06g15020.1,1.0,0.589760571
4983,LOC_Os11g30560.1,1.0,0.589760571
4984,LOC_Os04g02780.1,1.0,0.589760571
4985,LOC_Os01g17214.1,1.0,0.589760571
4986,LOC_Os10g39820.1,1.0,0.589760571
4987,LOC_Os12g03860.3,1.0,0.589760571
4988,LOC_Os02g26850.1,1.0,0.589760571
4989,LOC_Os02g10780.1,1.0,0.589760571
4990,LOC_Os03g58630.1,1.0,0.589760571
4991,LOC_Os06g39912.1,1.0,0.589760571
4992,LOC_Os03g10820.1,1.0,0.589760571
4993,LOC_Os03g43990.2,1.0,0.589760571
4994,LOC_Os09g36240.1,1.0,0.589760571
4995,LOC_Os08g39980.1,1.0,0.589760571
4996,LOC_Os02g48780.1,1.0,0.589760571
4997,LOC_Os08g10740.1,1.0,0.589760571
4998,LOC_Os02g27440.3,1.0,0.589760571
4999,LOC_Os06g37080.1,1.0,0.589760571
5000,LOC_Os03g44430.1,1.0,0.589760571
5001,LOC_Os10g33210.1,1.0,0.589760571
5002,LOC_Os03g50120.1,1.0,0.589760571
5003,LOC_Os04g39170.2,1.0,0.589760571
5004,LOC_Os02g47900.1,1.0,0.589760571
5005,LOC_Os03g17050.1,1.0,0.589760571
5006,LOC_Os02g09400.1,1.0,0.589760571
5007,LOC_Os04g58720.1,1.0,0.589760571
5008,LOC_Os01g40720.1,1.0,0.589760571
5009,LOC_Os10g32060.1,1.0,0.589760571
5010,LOC_Os09g30478.1,1.0,0.589760571
5011,LOC_Os08g04300.1,1.0,0.589760571
5012,LOC_Os03g12680.1,1.0,0.589760571
5013,LOC_Os02g37920.1,1.0,0.589760571
5014,LOC_Os03g02680.3,1.0,0.589760571
5015,LOC_Os07g48370.1,1.0,0.589760571
5016,LOC_Os05g05300.1,1.0,0.589760571
5017,LOC_Os10g01380.1,1.0,0.589760571
5018,LOC_Os07g42354.1,1.0,0.589760571
5019,LOC_Os05g23940.1,1.0,0.589760571
5020,LOC_Os01g66720.1,1.0,0.589760571
5021,LOC_Os05g48600.1,1.0,0.589760571
5022,LOC_Os03g44300.1,1.0,0.589760571
5023,LOC_Os05g45090.1,1.0,0.589760571
5024,LOC_Os02g18870.1,1.0,0.589760571
5025,LOC_Os09g37720.1,1.0,0.589760571
5026,LOC_Os12g43890.1,1.0,0.589760571
5027,LOC_Os12g06560.1,1.0,0.589760571
5028,LOC_Os02g36924.1,1.0,0.589760571
5029,LOC_Os03g13450.2,1.0,0.589760571
5030,LOC_Os03g58930.1,1.0,0.589760571
5031,LOC_Os09g36530.2,1.0,0.589760571
5032,LOC_Os01g28500.1,1.0,0.589760571
5033,LOC_Os05g25880.1,1.0,0.589760571
5034,LOC_Os05g48010.1,1.0,0.589760571
5035,LOC_Os02g36520.1,1.0,0.589760571
5036,LOC_Os01g47420.1,1.0,0.589760571
5037,LOC_Os05g44070.1,1.0,0.589760571
5038,LOC_Os11g04104.3,1.0,0.589760571
5039,LOC_Os01g67960.1,1.0,0.589760571
5040,LOC_Os01g67100.1,1.0,0.589760571
5041,LOC_Os03g52760.1,1.0,0.589760571
5042,LOC_Os09g27660.1,1.0,0.589760571
5043,LOC_Os02g41710.1,1.0,0.589760571
5044,LOC_Os06g29220.1,1.0,0.589760571
5045,LOC_Os09g02130.1,1.0,0.589760571
5046,LOC_Os02g18480.1,1.0,0.589760571
5047,LOC_Os01g72260.1,1.0,0.589760571
5048,LOC_Os03g49630.1,1.0,0.589760571
5049,LOC_Os01g69070.1,1.0,0.589760571
5050,LOC_Os09g39970.1,1.0,0.589760571
5051,LOC_Os06g45640.1,1.0,0.589760571
5052,LOC_Os10g37160.1,1.0,0.589760571
5053,LOC_Os09g07670.1,1.0,0.589760571
5054,LOC_Os01g07720.4,1.0,0.589760571
5055,LOC_Os01g32280.1,1.0,0.589760571
5056,LOC_Os01g44069.1,1.0,0.589760571
5057,LOC_Os12g05640.1,1.0,0.589760571
5058,LOC_Os08g12890.1,1.0,0.589760571
5059,LOC_Os11g06690.1,1.0,0.589760571
5060,LOC_Os07g46330.1,1.0,0.589760571
5061,LOC_Os07g27810.1,1.0,0.589760571
5062,LOC_Os01g63990.6,1.0,0.589760571
5063,LOC_Os05g49160.1,1.0,0.589760571
5064,LOC_Os09g23740.1,1.0,0.589760571
5065,LOC_Os03g03290.1,1.0,0.589760571
5066,LOC_Os10g24900.1,1.0,0.589760571
5067,LOC_Os05g46570.1,1.0,0.589760571
5068,LOC_Os04g50060.2,1.0,0.589760571
5069,LOC_Os10g34660.1,1.0,0.589760571
5070,LOC_Os07g31140.1,1.0,0.589760571
5071,LOC_Os09g04550.1,1.0,0.589760571
5072,LOC_Os01g58640.1,1.0,0.589760571
5073,LOC_Os05g03610.1,1.0,0.589760571
5074,LOC_Os03g08390.1,1.0,0.589760571
5075,LOC_Os10g33630.1,1.0,0.589760571
5076,LOC_Os03g63240.1,1.0,0.589760571
5077,LOC_Os08g19170.1,1.0,0.589760571
5078,LOC_Os03g08020.1,1.0,0.589760571
5079,LOC_Os10g28200.2,1.0,0.589760571
5080,LOC_Os01g66940.1,1.0,0.589760571
5081,LOC_Os01g43520.1,1.0,0.589760571
5082,LOC_Os05g51530.1,1.0,0.589760571
5083,LOC_Os09g30418.1,1.0,0.589760571
5084,LOC_Os03g52840.2,1.0,0.589760571
5085,LOC_Os04g55230.1,1.0,0.589760571
5086,LOC_Os02g57710.1,1.0,0.589760571
5087,LOC_Os01g22336.1,1.0,0.589760571
5088,LOC_Os03g05980.2,1.0,0.589760571
5089,LOC_Os01g72880.1,1.0,0.589760571
5090,LOC_Os07g04240.1,1.0,0.589760571
5091,LOC_Os03g22730.1,1.0,0.589760571
5092,LOC_Os02g32490.2,1.0,0.589760571
5093,LOC_Os02g26650.3,1.0,0.589760571
5094,LOC_Os04g44060.1,1.0,0.589760571
5095,LOC_Os01g40470.1,1.0,0.589760571
5096,LOC_Os01g65080.1,1.0,0.589760571
5097,LOC_Os07g01760.1,1.0,0.589760571
5098,LOC_Os09g32650.1,1.0,0.589760571
5099,LOC_Os12g24080.1,1.0,0.589760571
5100,LOC_Os01g65320.1,1.0,0.589760571
5101,LOC_Os05g26180.1,1.0,0.589760571
5102,LOC_Os08g15306.1,1.0,0.589760571
5103,LOC_Os06g50380.2,1.0,0.589760571
5104,LOC_Os01g51410.2,1.0,0.589760571
5105,LOC_Os06g45500.1,1.0,0.589760571
5106,LOC_Os12g05900.2,1.0,0.589760571
5107,LOC_Os05g31290.1,1.0,0.589760571
5108,LOC_Os09g25090.1,1.0,0.589760571
5109,LOC_Os01g53680.1,1.0,0.589760571
5110,LOC_Os05g36910.1,1.0,0.589760571
5111,LOC_Os02g11830.2,1.0,0.589760571
5112,LOC_Os06g45840.1,1.0,0.589760571
5113,LOC_Os12g32992.1,1.0,0.589760571
5114,LOC_Os02g51620.1,1.0,0.589760571
5115,LOC_Os09g07500.2,1.0,0.589760571
5116,LOC_Os09g36220.1,1.0,0.589760571
5117,LOC_Os10g30610.1,1.0,0.589760571
5118,LOC_Os02g35630.1,1.0,0.589760571
5119,LOC_Os03g52660.1,1.0,0.589760571
5120,LOC_Os03g51080.1,1.0,0.589760571
5121,LOC_Os09g24260.1,1.0,0.589760571
5122,LOC_Os06g12310.1,1.0,0.589760571
5123,LOC_Os01g40070.1,1.0,0.589760571
5124,LOC_Os12g40560.1,1.0,0.589760571
5125,LOC_Os10g35550.1,1.0,0.589760571
5126,LOC_Os01g20860.1,1.0,0.589760571
5127,LOC_Os08g31580.1,1.0,0.589760571
5128,LOC_Os01g25484.1,1.0,0.589760571
5129,LOC_Os02g51780.1,1.0,0.589760571
5130,LOC_Os08g36500.1,1.0,0.589760571
5131,LOC_Os02g41860.1,1.0,0.589760571
5132,LOC_Os03g20949.1,1.0,0.589760571
5133,LOC_Os09g35790.3,1.0,0.589760571
5134,LOC_Os09g03420.1,1.0,0.589760571
5135,LOC_Os08g12300.1,1.0,0.589760571
5136,LOC_Os01g40620.2,1.0,0.589760571
5137,LOC_Os01g27550.1,1.0,0.589760571
5138,LOC_Os12g33950.1,1.0,0.589760571
5139,LOC_Os11g03820.1,1.0,0.589760571
5140,LOC_Os06g46434.1,1.0,0.589760571
5141,LOC_Os01g18744.1,1.0,0.589760571
5142,LOC_Os02g28020.1,1.0,0.589760571
5143,LOC_Os12g07140.1,0.041820176,0.333881894
5144,LOC_Os09g26420.5,0.041820176,0.333881894
5145,LOC_Os02g11760.1,-0.710493383,0.576261019
5146,LOC_Os04g33830.1,-0.710493383,0.576261019
5147,LOC_Os09g03620.1,-0.710493383,0.576261019
5148,LOC_Os03g22380.1,-0.710493383,0.576261019
5149,LOC_Os01g72980.1,-0.710493383,0.576261019
5150,LOC_Os04g53690.2,-0.710493383,0.576261019
5151,LOC_Os03g57300.2,-0.836501268,0.334260306
5152,LOC_Os07g19530.1,-0.836501268,0.334260306
5153,LOC_Os02g33610.2,-0.106915204,0.576733403
5154,LOC_Os08g02640.4,0.115477217,0.321146687
5155,LOC_Os03g38020.1,0.115477217,0.321146687
5156,LOC_Os08g22354.2,0.115477217,0.321146687
5157,LOC_Os10g32880.1,-0.096215315,0.604624797
5158,LOC_Os01g35050.1,-0.096215315,0.604624797
5159,LOC_Os03g15900.2,-0.096215315,0.604624797
5160,LOC_Os06g24704.1,-0.096215315,0.604624797
5161,LOC_Os09g29810.1,0.192645078,0.606134926
5162,LOC_Os01g01510.2,0.192645078,0.606134926
5163,LOC_Os04g59570.1,0.192645078,0.606134926
5164,LOC_Os10g32960.1,0.192645078,0.606134926
5165,LOC_Os10g21192.1,0.192645078,0.606134926
5166,LOC_Os05g03820.3,0.192645078,0.606134926
5167,LOC_Os09g32740.1,0.192645078,0.606134926
5168,LOC_Os01g73410.1,0.192645078,0.606134926
5169,LOC_Os12g04520.1,0.192645078,0.606134926
5170,LOC_Os05g41480.1,0.192645078,0.606134926
5171,LOC_Os01g67134.1,0.192645078,0.606134926
5172,LOC_Os02g03450.1,0.192645078,0.606134926
5173,LOC_Os08g40550.1,0.192645078,0.606134926
5174,LOC_Os06g48700.1,0.192645078,0.606134926
5175,LOC_Os04g32270.1,0.192645078,0.606134926
5176,LOC_Os08g13930.2,0.192645078,0.606134926
5177,LOC_Os10g38850.1,0.192645078,0.606134926
5178,LOC_Os04g23820.1,0.192645078,0.606134926
5179,LOC_Os10g30100.1,0.192645078,0.606134926
5180,LOC_Os03g46340.1,0.192645078,0.606134926
5181,LOC_Os02g36340.2,0.192645078,0.606134926
5182,LOC_Os02g39830.1,0.192645078,0.606134926
5183,LOC_Os03g12470.1,0.192645078,0.606134926
5184,LOC_Os08g31810.2,0.192645078,0.606134926
5185,LOC_Os12g10900.1,0.192645078,0.606134926
5186,LOC_Os01g45190.1,0.0,0.335391335
5187,LOC_Os08g13690.1,-0.146841388,0.57883791
5188,LOC_Os07g44710.1,-0.561878888,0.578788784
5189,LOC_Os08g33830.2,-0.561878888,0.578788784
5190,LOC_Os01g67860.1,-0.152003093,0.607243546
5191,LOC_Os12g40520.1,0.0,0.605885942
5192,LOC_Os03g12450.1,0.0,0.605885942
5193,LOC_Os10g42100.1,0.0,0.605885942
5194,LOC_Os08g37610.1,0.0,0.605885942
5195,LOC_Os04g52000.1,0.0,0.605885942
5196,LOC_Os12g14070.1,-0.539158811,0.336337602
5197,LOC_Os08g41460.8,-0.028014376,0.323781588
5198,LOC_Os02g50270.1,-0.054447784,0.58115405
5199,LOC_Os04g58110.1,-0.054447784,0.58115405
5200,LOC_Os05g43252.2,0.222392421,0.582502865
5201,LOC_Os01g41640.1,0.222392421,0.582502865
5202,LOC_Os06g14406.1,0.222392421,0.582502865
5203,LOC_Os08g07400.1,0.222392421,0.582502865
5204,LOC_Os07g11000.1,0.222392421,0.582502865
5205,LOC_Os03g13810.1,0.222392421,0.582502865
5206,LOC_Os11g38800.1,0.222392421,0.582502865
5207,LOC_Os01g70520.1,0.222392421,0.582502865
5208,LOC_Os01g38530.1,0.222392421,0.582502865
5209,LOC_Os02g45650.1,0.222392421,0.582502865
5210,LOC_Os06g08005.1,0.222392421,0.582502865
5211,LOC_Os09g06499.2,0.222392421,0.582502865
5212,LOC_Os07g40550.1,0.222392421,0.582502865
5213,LOC_Os09g38340.3,0.222392421,0.582502865
5214,LOC_Os05g41240.1,0.222392421,0.582502865
5215,LOC_Os12g31640.2,0.222392421,0.582502865
5216,LOC_Os10g40740.1,0.222392421,0.582502865
5217,LOC_Os06g03676.1,0.222392421,0.582502865
5218,LOC_Os01g56490.1,0.222392421,0.582502865
5219,LOC_Os02g47350.1,0.222392421,0.582502865
5220,LOC_Os08g17370.1,0.222392421,0.582502865
5221,LOC_Os04g41260.1,0.222392421,0.582502865
5222,LOC_Os07g44940.1,0.222392421,0.582502865
5223,LOC_Os10g40600.1,0.222392421,0.582502865
5224,LOC_Os02g47620.1,0.222392421,0.582502865
5225,LOC_Os01g64520.2,0.222392421,0.582502865
5226,LOC_Os11g04950.1,0.222392421,0.582502865
5227,LOC_Os03g42880.1,0.222392421,0.582502865
5228,LOC_Os04g56110.1,0.222392421,0.582502865
5229,LOC_Os02g05490.1,0.222392421,0.582502865
5230,LOC_Os07g31400.1,0.222392421,0.582502865
5231,LOC_Os03g13100.1,0.222392421,0.582502865
5232,LOC_Os05g06690.1,0.222392421,0.582502865
5233,LOC_Os09g02284.1,0.222392421,0.582502865
5234,LOC_Os04g54870.2,0.222392421,0.582502865
5235,LOC_Os06g39640.1,0.222392421,0.582502865
5236,LOC_Os09g29470.3,0.222392421,0.582502865
5237,LOC_Os07g26920.1,0.222392421,0.582502865
5238,LOC_Os06g19390.1,0.222392421,0.582502865
5239,LOC_Os01g35184.2,0.222392421,0.582502865
5240,LOC_Os06g05680.1,0.222392421,0.582502865
5241,LOC_Os02g13530.1,-1.137503524,0.323708633
5242,LOC_Os04g30880.1,-1.137503524,0.323708633
5243,LOC_Os02g14780.2,-1.137503524,0.323708633
5244,LOC_Os11g05540.1,-1.137503524,0.323708633
5245,LOC_Os05g05160.1,-1.137503524,0.323708633
5246,LOC_Os01g38950.1,-1.137503524,0.323708633
5247,LOC_Os09g38970.1,-1.137503524,0.323708633
5248,LOC_Os12g28270.2,-1.137503524,0.323708633
5249,LOC_Os01g01080.2,-1.137503524,0.323708633
5250,LOC_Os02g04440.2,-1.137503524,0.323708633
5251,LOC_Os03g21490.1,-1.137503524,0.323708633
5252,LOC_Os01g47450.1,-1.137503524,0.323708633
5253,LOC_Os02g07060.1,-1.137503524,0.323708633
5254,LOC_Os02g42540.1,-1.137503524,0.323708633
5255,LOC_Os10g30054.2,-1.137503524,0.323708633
5256,LOC_Os12g41250.1,-1.137503524,0.323708633
5257,LOC_Os08g37444.4,-0.671377253,0.337178068
5258,LOC_Os02g18090.1,1.584962501,0.330834119
5259,LOC_Os04g32930.1,1.584962501,0.330834119
5260,LOC_Os05g01940.1,1.584962501,0.330834119
5261,LOC_Os04g37720.1,1.584962501,0.330834119
5262,LOC_Os10g38150.1,1.584962501,0.330834119
5263,LOC_Os04g44420.1,1.584962501,0.330834119
5264,LOC_Os01g24480.1,1.584962501,0.330834119
5265,LOC_Os08g03579.2,1.584962501,0.330834119
5266,LOC_Os05g46340.1,1.584962501,0.330834119
5267,LOC_Os07g42632.3,1.584962501,0.330834119
5268,LOC_Os04g20880.1,1.584962501,0.330834119
5269,LOC_Os02g37090.1,1.584962501,0.330834119
5270,LOC_Os10g43060.1,1.584962501,0.330834119
5271,LOC_Os08g31940.1,1.584962501,0.330834119
5272,LOC_Os04g40900.1,1.584962501,0.330834119
5273,LOC_Os01g02100.4,1.584962501,0.330834119
5274,LOC_Os12g01530.3,1.584962501,0.330834119
5275,LOC_Os12g31490.1,1.584962501,0.330834119
5276,LOC_Os04g38970.1,1.584962501,0.330834119
5277,LOC_Os04g10420.1,1.584962501,0.330834119
5278,LOC_Os03g42010.2,1.584962501,0.330834119
5279,LOC_Os02g52990.1,1.584962501,0.330834119
5280,LOC_Os03g37330.1,1.584962501,0.330834119
5281,LOC_Os05g45850.1,1.584962501,0.330834119
5282,LOC_Os09g31025.1,1.584962501,0.330834119
5283,LOC_Os01g61760.3,1.584962501,0.330834119
5284,LOC_Os09g27050.1,1.584962501,0.330834119
5285,LOC_Os02g37430.1,1.584962501,0.330834119
5286,LOC_Os06g19640.1,1.584962501,0.330834119
5287,LOC_Os09g16330.2,1.584962501,0.330834119
5288,LOC_Os03g44670.1,1.584962501,0.330834119
5289,LOC_Os12g02094.1,1.584962501,0.330834119
5290,LOC_Os02g55130.5,1.584962501,0.330834119
5291,LOC_Os04g51960.1,1.584962501,0.330834119
5292,LOC_Os06g26270.1,1.584962501,0.330834119
5293,LOC_Os08g33720.1,1.584962501,0.330834119
5294,LOC_Os04g32550.1,1.584962501,0.330834119
5295,LOC_Os06g16290.1,1.584962501,0.330834119
5296,LOC_Os07g41630.1,1.584962501,0.330834119
5297,LOC_Os10g40570.1,1.584962501,0.330834119
5298,LOC_Os03g27800.1,1.584962501,0.330834119
5299,LOC_Os07g38090.2,1.584962501,0.330834119
5300,LOC_Os09g32560.1,1.584962501,0.330834119
5301,LOC_Os02g44770.1,1.584962501,0.330834119
